method,decode_ms_per_sample
PIMoG-Original,46.34816388877678
Coarse-Prior,45.656440278334124
Multi-View-Average,396.03071249924443
Single-View-FT,46.72790694490282
PMFA,396.93146388971303
Decoder-Tail-FT,46.03549583245896
DCSS,397.6414902782481
DCSS-FT,397.1333000000514
R-DCSS,397.54064027834426
