epoch,train_loss,val_bit_accuracy,model
1,0.12551115536027485,0.9892592430114746,DCSS-FT
2,0.11831116510762109,0.988703727722168,DCSS-FT
3,0.11206014537149006,0.9872221946716309,DCSS-FT
4,0.10622380475203196,0.987407386302948,DCSS-FT
5,0.10075211458735996,0.9875925779342651,DCSS-FT
6,0.09563686301310857,0.9875925779342651,DCSS-FT
