epoch,train_loss,val_bit_accuracy,model
1,0.18926985230710772,0.8114814758300781,Decoder-Tail-FT
2,0.15048507187101576,0.8253703713417053,Decoder-Tail-FT
3,0.12595132059521144,0.8518518805503845,Decoder-Tail-FT
4,0.11128659811284806,0.8674073815345764,Decoder-Tail-FT
5,0.10090816302431954,0.880740761756897,Decoder-Tail-FT
6,0.09336214578813977,0.8872222304344177,Decoder-Tail-FT
7,0.08769244617886013,0.8922222256660461,Decoder-Tail-FT
8,0.08299314917789566,0.8990740776062012,Decoder-Tail-FT
9,0.07892901433838738,0.9049999713897705,Decoder-Tail-FT
10,0.07593413922521804,0.9092592597007751,Decoder-Tail-FT
