epoch,train_loss,val_bit_accuracy,val_alignment_accuracy,model
1,0.5895660824245876,0.9027777910232544,0.14444445073604584,PMFA
2,0.5826909979184468,0.9007407426834106,0.17222222685813904,PMFA
3,0.5758356968561809,0.8990740776062012,0.1666666716337204,PMFA
4,0.568163604206509,0.8983333110809326,0.1666666716337204,PMFA
5,0.5596825705634223,0.9003703594207764,0.15555556118488312,PMFA
6,0.5505673143598768,0.9014815092086792,0.1666666716337204,PMFA
