condition,method,sample,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
full,PIMoG-Original,100,0.9666666388511658,0.03333336114883423,0.0,,
full,PIMoG-Original,101,1.0,0.0,1.0,,
full,PIMoG-Original,102,1.0,0.0,1.0,,
full,PIMoG-Original,103,1.0,0.0,1.0,,
full,PIMoG-Original,104,1.0,0.0,1.0,,
full,PIMoG-Original,105,1.0,0.0,1.0,,
full,PIMoG-Original,106,1.0,0.0,1.0,,
full,PIMoG-Original,107,1.0,0.0,1.0,,
full,PIMoG-Original,108,1.0,0.0,1.0,,
full,PIMoG-Original,109,1.0,0.0,1.0,,
full,PIMoG-Original,110,1.0,0.0,1.0,,
full,PIMoG-Original,111,1.0,0.0,1.0,,
full,PIMoG-Original,112,1.0,0.0,1.0,,
full,PIMoG-Original,113,1.0,0.0,1.0,,
full,PIMoG-Original,114,1.0,0.0,1.0,,
full,PIMoG-Original,115,1.0,0.0,1.0,,
full,PIMoG-Original,116,1.0,0.0,1.0,,
full,PIMoG-Original,117,1.0,0.0,1.0,,
full,PIMoG-Original,118,1.0,0.0,1.0,,
full,PIMoG-Original,119,0.9666666388511658,0.03333336114883423,0.0,,
full,PIMoG-Original,120,1.0,0.0,1.0,,
full,PIMoG-Original,121,1.0,0.0,1.0,,
full,PIMoG-Original,122,1.0,0.0,1.0,,
full,PIMoG-Original,123,1.0,0.0,1.0,,
full,PIMoG-Original,124,1.0,0.0,1.0,,
full,PIMoG-Original,125,1.0,0.0,1.0,,
full,PIMoG-Original,126,1.0,0.0,1.0,,
full,PIMoG-Original,127,1.0,0.0,1.0,,
full,PIMoG-Original,128,1.0,0.0,1.0,,
full,PIMoG-Original,129,1.0,0.0,1.0,,
full,PIMoG-Original,130,1.0,0.0,1.0,,
full,PIMoG-Original,131,1.0,0.0,1.0,,
full,PIMoG-Original,132,1.0,0.0,1.0,,
full,PIMoG-Original,133,1.0,0.0,1.0,,
full,PIMoG-Original,134,1.0,0.0,1.0,,
full,PIMoG-Original,135,1.0,0.0,1.0,,
full,PIMoG-Original,136,1.0,0.0,1.0,,
full,PIMoG-Original,137,1.0,0.0,1.0,,
full,PIMoG-Original,138,1.0,0.0,1.0,,
full,PIMoG-Original,139,1.0,0.0,1.0,,
full,PIMoG-Original,140,1.0,0.0,1.0,,
full,PIMoG-Original,141,1.0,0.0,1.0,,
full,PIMoG-Original,142,1.0,0.0,1.0,,
full,PIMoG-Original,143,1.0,0.0,1.0,,
full,Coarse-Prior,0,1.0,0.0,1.0,,
full,Coarse-Prior,1,1.0,0.0,1.0,,
full,Coarse-Prior,2,1.0,0.0,1.0,,
full,Coarse-Prior,3,1.0,0.0,1.0,,
full,Coarse-Prior,4,1.0,0.0,1.0,,
full,Coarse-Prior,5,1.0,0.0,1.0,,
full,Coarse-Prior,6,1.0,0.0,1.0,,
full,Coarse-Prior,7,1.0,0.0,1.0,,
full,Coarse-Prior,8,1.0,0.0,1.0,,
full,Coarse-Prior,9,1.0,0.0,1.0,,
full,Coarse-Prior,10,1.0,0.0,1.0,,
full,Coarse-Prior,11,1.0,0.0,1.0,,
full,Coarse-Prior,12,1.0,0.0,1.0,,
