condition,method,bit_accuracy,ber,message_accuracy,selected_oracle_candidate,dcss_usage_rate
crop50,Coarse-Prior,0.8462962893148264,0.15370371068517366,0.1388888888888889,,
crop50,DCSS,0.9449073991013898,0.05509260089861022,0.3680555555555556,,
crop50,DCSS-FT,0.9449073986874686,0.05509260131253137,0.3472222222222222,,
crop50,Decoder-Tail-FT,0.8490740665131145,0.1509259334868855,0.0625,,
crop50,Multi-View-Average,0.8400462907221582,0.15995370927784178,0.09027777777777778,,
crop50,Oracle-Alignment,0.9481481396489673,0.05185186035103268,0.375,,
crop50,PIMoG-Original,0.49351852718326783,0.5064814728167322,0.0,,
crop50,PMFA,0.8416666604785455,0.15833333952145445,0.14583333333333334,0.1597222222222222,
crop50,R-DCSS,0.9435185102952851,0.05648148970471488,0.3680555555555556,,0.9722222222222222
crop50,Single-View-FT,0.8430555498020517,0.15694445019794834,0.14583333333333334,,
crop50_blur,Coarse-Prior,0.8412036971292562,0.1587963028707438,0.1736111111111111,,
crop50_blur,DCSS,0.9342592486904727,0.06574075130952729,0.2638888888888889,,
crop50_blur,DCSS-FT,0.9335648028386964,0.06643519716130362,0.2222222222222222,,
crop50_blur,Decoder-Tail-FT,0.8469907341317998,0.15300926586820018,0.06944444444444445,,
crop50_blur,Multi-View-Average,0.8284722163031498,0.17152778369685015,0.0763888888888889,,
crop50_blur,Oracle-Alignment,0.9372685067355633,0.06273149326443672,0.2638888888888889,,
crop50_blur,PIMoG-Original,0.4990740803380807,0.5009259196619192,0.0,,
crop50_blur,PMFA,0.8337962894390026,0.16620371056099734,0.1111111111111111,0.125,
crop50_blur,R-DCSS,0.9337962857551045,0.06620371424489552,0.2638888888888889,,0.9305555555555556
crop50_blur,Single-View-FT,0.8333333265036345,0.16666667349636555,0.11805555555555555,,
crop50_jpeg,Coarse-Prior,0.6268518556737237,0.37314814432627624,0.0,,
crop50_jpeg,DCSS,0.6039351912008392,0.39606480879916084,0.0,,
crop50_jpeg,DCSS-FT,0.6025463012564514,0.39745369874354863,0.0,,
crop50_jpeg,Decoder-Tail-FT,0.6236111174027125,0.3763888825972875,0.006944444444444444,,
crop50_jpeg,Multi-View-Average,0.63148148647613,0.36851851352387005,0.0,,
crop50_jpeg,Oracle-Alignment,0.6657407455560234,0.33425925444397664,0.0,,
crop50_jpeg,PIMoG-Original,0.4847222299625476,0.5152777700374523,0.0,,
crop50_jpeg,PMFA,0.619444448604352,0.38055555139564806,0.0,0.19444444444444445,
crop50_jpeg,R-DCSS,0.6203703733368052,0.3796296266631948,0.0,,0.2638888888888889
crop50_jpeg,Single-View-FT,0.6231481515698962,0.3768518484301037,0.0,,
crop70,Coarse-Prior,0.8916666625688473,0.10833333743115266,0.4375,,
crop70,DCSS,0.9937499968541993,0.006250003145800697,0.8541666666666666,,
crop70,DCSS-FT,0.9932870339188311,0.006712966081168916,0.8472222222222222,,
crop70,Decoder-Tail-FT,0.9043981414288282,0.09560185857117176,0.3125,,
crop70,Multi-View-Average,0.8914351796524392,0.10856482034756078,0.2777777777777778,,
crop70,Oracle-Alignment,0.9928240705695417,0.007175929430458281,0.8263888888888888,,
crop70,PIMoG-Original,0.5006944526814752,0.4993055473185248,0.0,,
crop70,PMFA,0.8893518455119597,0.11064815448804034,0.3958333333333333,0.1388888888888889,
crop70,R-DCSS,0.9937499968541993,0.006250003145800697,0.8541666666666666,,1.0
crop70,Single-View-FT,0.8895833282214072,0.1104166717785928,0.4027777777777778,,
full,Coarse-Prior,0.9988425916267766,0.0011574083732234107,0.9652777777777778,,
full,DCSS,0.9988425916267766,0.0011574083732234107,0.9652777777777778,,
full,DCSS-FT,0.9979166649281979,0.0020833350718021393,0.9375,,
full,Decoder-Tail-FT,0.9944444414642122,0.005555558535787795,0.8611111111111112,,
full,Multi-View-Average,0.9988425916267766,0.0011574083732234107,0.9652777777777778,,
full,Oracle-Alignment,0.9988425916267766,0.0011574083732234107,0.9652777777777778,,
full,PIMoG-Original,0.9988425916267766,0.0011574083732234107,0.9652777777777778,,
full,PMFA,0.9969907382296191,0.0030092617703808677,0.9097222222222222,1.0,
full,R-DCSS,0.9988425916267766,0.0011574083732234107,0.9652777777777778,,1.0
full,Single-View-FT,0.9976851832535532,0.0023148167464468214,0.9305555555555556,,
