fallback_mode,threshold,condition,bit_accuracy,message_accuracy,dcss_usage_rate
average,0.1262,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1262,macro_average,0.7876851956049601,,
average,0.1263,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1263,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1263,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1263,macro_average,0.7876851956049601,,
average,0.12639999999999998,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12639999999999998,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12639999999999998,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12639999999999998,macro_average,0.7876851956049601,,
average,0.1265,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1265,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1265,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1265,macro_average,0.7876851956049601,,
average,0.1266,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1266,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1266,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1266,macro_average,0.7876851956049601,,
average,0.1267,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1267,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1267,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1267,macro_average,0.7876851956049601,,
average,0.1268,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.1268,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.1268,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.1268,macro_average,0.7876851956049601,,
average,0.12689999999999999,crop50,0.867222249507904,0.14166666567325592,0.0
average,0.12689999999999999,crop50_blur,0.8383333086967468,0.03333333507180214,0.0
average,0.12689999999999999,crop50_jpeg,0.6575000286102295,0.0,0.0
average,0.12689999999999999,macro_average,0.7876851956049601,,
